type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters,name
SHOW,1996,25,7.8,15620.0,33.544,8.3,US,1,family,24,kenan & kel
MOVIE,2000,118,6.6,64771.0,30.982,6.6,US,1,comedy,10,the replacements
MOVIE,1997,136,7.1,142903.0,13.766,7.2,US,1,action,43,seven years in tibet
MOVIE,1995,114,5.9,66667.0,15.935,6.0,US,1,thriller,5,the net
MOVIE,1993,112,6.5,128972.0,27.78,6.5,IT,3,action,44,cliffhanger
MOVIE,1993,97,7.5,58179.0,13.928,7.542,US,1,drama,0,menace ii society
MOVIE,1995,97,5.6,71563.0,10.75,5.7,CA,2,action,45,johnny mnemonic
MOVIE,1994,93,4.5,9321.0,12.603,5.5,JP,2,comedy,46,3 ninjas kick back
MOVIE,1998,104,6.8,6549.0,6.276,6.5,US,1,romance,7,edge of seventeen
MOVIE,1997,107,6.2,65323.0,12.863,6.1,US,1,crime,6,the devil's own
SHOW,1998,25,8.0,5008.0,35.757,8.7,JP,1,scifi,40,cardcaptor sakura
MOVIE,1997,96,5.2,68184.0,16.989,5.343,US,1,scifi,36,spawn
SHOW,1993,22,6.2,3902.0,13.313,6.3,US,1,scifi,22,adventures of sonic the hedgehog
MOVIE,1998,94,7.0,21599.0,8.381,6.8,IE,4,drama,47,croupier
SHOW,2000,21,7.2,4528.0,12.163,7.7,US,1,drama,48,girlfriends
MOVIE,1994,107,4.5,30422.0,20.185,5.318,US,1,action,43,the next karate kid
MOVIE,1993,115,6.5,11709.0,8.136,6.3,US,1,western,9,geronimo: an american legend
MOVIE,1997,93,4.8,34396.0,14.599,5.1,HK,2,action,49,double team
MOVIE,1995,105,6.8,5047.0,3.308,6.8,US,1,drama,0,heavy
MOVIE,1998,104,5.9,6676.0,9.25,6.3,US,1,comedy,10,the players club
SHOW,1999,19,6.8,2377.0,5.745,8.1,US,1,comedy,19,the parkers
SHOW,1994,22,6.2,12657.0,21.489,7.5,US,1,comedy,19,"sister, sister"
SHOW,1996,21,5.8,3747.0,10.901,7.0,US,1,drama,48,moesha
SHOW,1994,45,7.8,3139.0,7.222,7.3,AU,1,drama,50,heartbreak high
SHOW,1999,9,7.4,4281.0,40.189,7.5,FR,1,animation,51,oggy and the cockroaches
MOVIE,1998,185,7.6,52036.0,12.35,7.7,IN,1,romance,17,kuch kuch hota hai
MOVIE,1994,63,6.3,612.0,0.685,6.4,GB,1,documentation,52,children of god
MOVIE,1991,91,4.5,3207.0,7.945,5.1,US,1,action,43,knight rider 2000
SHOW,2000,40,9.0,2399.0,8.565,8.8,AR,1,drama,53,okupas
MOVIE,1994,206,7.5,21123.0,6.314,6.5,IN,1,drama,13,hum aapke hain koun..!
MOVIE,1998,163,7.5,28586.0,7.811,6.8,IN,1,drama,13,dil se..
MOVIE,1998,75,7.9,5879.0,5.822,7.6,US,1,comedy,10,jerry seinfeld: i'm telling you for the last time
SHOW,1998,25,7.4,1727.0,7.905,7.6,FR,1,comedy,54,h
MOVIE,1993,124,7.0,692.0,1.858,6.5,DE,5,drama,42,sankofa
MOVIE,1999,123,7.8,6035.0,10.506,7.9,MX,1,comedy,55,herod's law
MOVIE,1993,124,6.7,1584.0,5.092,6.1,ES,2,drama,56,wild tango
MOVIE,1998,87,7.9,4378.0,3.766,7.8,US,1,drama,0,the last days
MOVIE,1991,72,6.6,276.0,0.656,6.0,US,1,comedy,10,sam kinison: live in vegas
MOVIE,1993,74,8.5,3098.0,3.784,8.1,GB,1,comedy,4,bill hicks: revelations
MOVIE,1995,141,8.1,12629.0,4.99,7.2,IN,1,drama,13,bombay
MOVIE,1999,174,6.1,5451.0,2.595,6.7,IN,1,drama,13,mann
MOVIE,1998,156,6.2,3063.0,3.623,5.7,IN,1,thriller,57,soldier
MOVIE,1996,56,6.8,116.0,1.536,5.8,US,1,comedy,10,sinbad: son of a preacher man
MOVIE,1993,175,7.8,3523.0,3.328,7.3,IN,1,drama,13,damini
MOVIE,1999,177,6.2,8552.0,7.865,6.0,IN,1,romance,17,hum saath saath hain
MOVIE,1997,136,7.1,2857.0,3.287,6.7,FR,2,drama,30,destiny
MOVIE,1996,88,6.9,733.0,2.099,6.7,PS,4,drama,-1,chronicle of a disappearance
MOVIE,1995,165,7.6,3056.0,3.576,6.9,IN,1,comedy,58,muthu
MOVIE,1998,175,6.4,3604.0,3.393,6.5,IN,1,comedy,58,jeans
MOVIE,1998,58,7.8,1096.0,2.681,6.9,GB,2,comedy,4,monty python: live at aspen
MOVIE,1997,145,6.7,1226.0,2.316,6.6,IN,1,comedy,58,minsara kanavu
MOVIE,1998,165,5.5,7618.0,4.112,6.0,IN,1,comedy,58,duplicate
MOVIE,1996,160,7.9,2586.0,2.828,7.5,IN,1,drama,13,avvai shanmugi
MOVIE,1994,137,6.6,6532.0,3.806,7.1,IN,1,romance,17,anjaam
MOVIE,1991,100,7.2,250.0,1.533,5.1,US,1,drama,0,a triumph of the heart: the ricky bell story
MOVIE,2000,160,6.1,7610.0,7.778,6.6,IN,1,comedy,58,phir bhi dil hai hindustani
MOVIE,1999,50,8.1,78.0,1.635,6.7,LB,1,documentation,-1,children of shatila
MOVIE,1991,30,6.0,198.0,2.297,7.0,US,1,comedy,10,tim allen: rewires america
MOVIE,1998,105,7.6,4221.0,3.308,7.3,FR,4,romance,59,west beirut
MOVIE,1993,145,6.6,356.0,1.248,4.0,IN,1,drama,13,govindha govindha
MOVIE,1991,97,6.9,376.0,2.481,6.2,BE,4,drama,60,out of life
MOVIE,1993,149,6.1,795.0,1.763,6.7,IN,1,drama,13,gumrah
MOVIE,1998,56,6.3,65.0,1.83,5.2,US,1,comedy,10,sinbad: nothin' but the funk
MOVIE,1993,60,7.8,172.0,3.793,5.5,US,1,comedy,10,sinbad: afros and bellbottoms
MOVIE,2000,170,6.0,4213.0,2.835,6.3,IN,1,romance,17,fiza
MOVIE,2000,55,7.3,168.0,1.444,8.5,GB,1,comedy,4,before the flying circus
MOVIE,1999,106,5.9,997.0,1.12,5.9,FR,2,romance,59,the other
MOVIE,1991,142,4.5,198.0,1.554,5.0,IN,1,action,29,yodha
MOVIE,1994,129,6.5,1015.0,1.4,6.0,FR,2,drama,30,the emigrant
MOVIE,1999,131,4.6,4262.0,4.338,5.3,IN,1,comedy,58,hello brother
MOVIE,1995,156,5.0,249.0,2.045,7.5,IN,1,romance,17,dushmani
MOVIE,1991,100,5.5,345.0,2.713,6.0,US,1,drama,0,nightmare in columbia county
MOVIE,1991,162,5.8,68.0,1.323,5.0,IN,2,drama,13,shikari
SHOW,2008,48,9.5,1775990.0,353.848,8.79,US,1,drama,48,breaking bad
SHOW,2002,58,8.7,117240.0,45.549,7.4,GB,1,comedy,3,top gear
SHOW,2010,46,8.2,956604.0,597.277,8.1,US,1,action,38,the walking dead
SHOW,2005,45,8.4,434081.0,388.093,8.278,US,1,scifi,22,supernatural
MOVIE,2007,126,7.1,305346.0,37.369,6.9,US,1,horror,21,the mist
MOVIE,2004,97,7.1,375975.0,57.235,7.2,CA,2,comedy,61,mean girls
SHOW,2010,57,8.6,9856.0,5.581,7.7,GB,1,reality,62,the great british baking show
SHOW,2006,25,8.3,122698.0,48.88,7.4,US,1,comedy,19,30 rock
SHOW,2010,58,8.5,25485.0,51.118,8.1,DK,1,drama,-1,borgen
SHOW,2009,23,8.5,257221.0,42.357,8.0,US,1,comedy,19,community
MOVIE,2002,141,8.1,952602.0,72.321,8.0,US,1,drama,0,catch me if you can
SHOW,2005,49,7.6,299165.0,803.786,8.252,US,1,drama,48,grey's anatomy
SHOW,2003,28,8.7,300445.0,30.131,8.043,US,1,comedy,19,arrested development
SHOW,2007,44,8.4,16337.0,74.638,8.3,CA,1,drama,63,heartland
SHOW,2004,49,7.8,21531.0,10.922,7.7,FR,1,crime,-1,the staircase
MOVIE,2003,88,7.0,229171.0,17.131,6.577,US,1,comedy,10,old school
SHOW,2003,43,7.8,143846.0,251.622,7.6,US,1,crime,64,ncis
SHOW,2005,24,9.3,303666.0,56.915,8.7,US,1,scifi,22,avatar: the last airbender
MOVIE,2004,95,7.1,353118.0,20.606,6.7,US,1,comedy,10,anchorman: the legend of ron burgundy
SHOW,2006,43,8.7,65199.0,19.681,8.1,US,1,drama,48,friday night lights
SHOW,2006,25,8.5,149586.0,31.031,8.108,GB,1,comedy,3,the it crowd
MOVIE,2010,148,8.8,2294231.0,108.284,8.4,US,2,action,43,inception
SHOW,2008,22,8.3,14996.0,41.509,8.705,US,1,action,38,the spectacular spider-man
MOVIE,2006,151,8.5,1296244.0,33.795,8.2,US,1,drama,0,the departed
SHOW,2005,25,6.1,15808.0,53.044,8.2,US,1,drama,48,zoey 101
MOVIE,2010,103,6.8,303820.0,99.129,6.929,CA,2,horror,65,insidious
MOVIE,2005,117,6.5,444229.0,36.989,6.474,US,1,action,43,war of the worlds
SHOW,2006,24,9.0,309445.0,120.545,8.664,JP,1,animation,35,death note
SHOW,2009,42,7.7,314422.0,479.354,8.348,US,1,drama,48,the vampire diaries
SHOW,2002,23,8.4,96729.0,218.843,8.363,JP,1,animation,35,naruto
MOVIE,2008,110,6.7,384995.0,33.101,6.5,DE,2,action,66,wanted
MOVIE,2006,144,8.0,649676.0,40.164,7.518,DE,5,action,66,casino royale
SHOW,2010,22,7.6,20910.0,52.369,8.1,CA,2,comedy,67,my little pony: friendship is magic
SHOW,2003,21,8.8,63107.0,14.116,8.1,US,1,comedy,19,chappelle's show
MOVIE,2004,128,7.4,441752.0,21.384,7.3,US,1,drama,0,the terminal
MOVIE,2007,114,7.2,165109.0,16.97,6.7,US,1,thriller,5,michael clayton
MOVIE,2002,117,7.7,265216.0,18.739,7.4,US,1,thriller,5,road to perdition
SHOW,2010,25,6.9,24838.0,71.494,8.221,US,1,comedy,19,victorious
MOVIE,2003,125,8.0,437650.0,21.158,7.769,US,1,action,43,big fish
MOVIE,2008,131,7.5,446904.0,28.341,7.3,US,1,thriller,5,the hurt locker
MOVIE,2004,163,7.3,527447.0,48.407,7.1,MT,3,action,-1,troy
MOVIE,2009,129,7.6,625708.0,43.297,7.2,AU,4,crime,68,sherlock holmes
SHOW,2001,25,8.6,42733.0,22.603,8.0,CA,1,comedy,67,trailer park boys
MOVIE,2003,135,7.6,476101.0,36.484,7.1,GB,2,drama,69,love actually
SHOW,2003,44,5.6,17905.0,14.501,5.3,US,1,reality,32,america's next top model
MOVIE,2008,110,6.5,216695.0,22.421,6.2,US,1,comedy,10,get smart
MOVIE,2008,106,6.6,444241.0,31.298,6.304,GB,2,thriller,70,quantum of solace
MOVIE,2009,129,7.6,327675.0,63.663,7.661,US,1,drama,0,the blind side
MOVIE,2003,90,7.3,240433.0,19.558,7.181,US,1,thriller,5,identity
MOVIE,2007,101,7.2,745093.0,69.139,7.192,US,1,scifi,36,i am legend
SHOW,2001,23,7.2,38046.0,67.192,7.7,CA,2,comedy,67,the fairly oddparents
MOVIE,2010,102,5.9,249934.0,98.37,6.333,US,1,comedy,10,grown ups
MOVIE,2004,110,6.7,223380.0,37.315,6.7,US,1,comedy,10,the girl next door
SHOW,2004,25,7.4,17864.0,33.115,8.6,US,1,family,24,ned's declassified school survival guide
MOVIE,2009,140,7.0,300773.0,85.039,6.7,US,2,action,43,public enemies
MOVIE,2001,89,5.7,105352.0,36.438,5.8,US,1,comedy,10,not another teen movie
MOVIE,2001,124,7.5,258431.0,24.348,7.4,US,1,crime,6,blow
MOVIE,2008,92,6.4,476593.0,121.985,6.33,US,1,fantasy,39,hancock
